True clone	Inf clone	GE	Annotation
#Clo24	#Clo26	5	Initial
#Clo26	#Clo26	6	Initial
#Clo27	#Clo29	2	Initial
#Clo20	#Clo18	3	Initial
#Clo22	#Clo18	4	Initial
#Clo23	#Clo40	5	Initial
#Clo29	#Clo29	2	Initial
#Clo40	#Clo40	2	Initial
#Clo8	#Clo10	2	Initial
#Clo13	#Clo17	3	Initial
#Clo12	#Clo34	3	Initial
#Clo10	#Clo10	3	Initial
#Clo38	#Clo38	2	Initial
#Clo15	#Clo17	4	Initial
#Clo17	#Clo17	5	Initial
#Clo32	#Clo32	2	Initial
#Clo31	#Clo29	3	Initial
#Clo36	#Clo34	2	Initial
#Clo35	#Clo35	2	Initial
#Clo34	#Clo34	3	Initial
#Clo18	#Clo18	3	Initial
