True clone	Inf clone	GE	Annotation
#Clo36	#Clo34	9	Initial
#Clo24	#Clo31	9	Initial
#Clo26	#Clo31	8	Initial
#Clo21	#Clo23	6	Initial
#Clo46Clo11	#Clo44	6	Initial
#Clo44	#Clo44	7	Initial
#Clo42	#Clo42	6	Initial
#Clo40	#Clo40	6	Initial
#Clo8	#Clo10	6	Initial
#Clo28	#Clo31	8	Initial
#Clo39	#Clo37	7	Initial
#Clo10	#Clo10	6	Initial
#Clo12	#Clo18	6	Initial
#Clo14	#Clo18	6	Initial
#Clo16	#Clo18	6	Initial
#Clo19	#Clo23	7	Initial
#Clo32	#Clo34	7	Initial
#Clo31	#Clo31	10	Initial
#Clo23	#Clo23	7	Initial
#Clo37	#Clo37	6	Initial
#Clo50	#Clo50	6	Initial
#Clo34	#Clo34	8	Initial
#Clo18	#Clo18	6	Initial
