True clone	Inf clone	GE	Annotation
#Clo30	#Clo28	17	Initial
#Clo37	#Clo35	15	Initial
#Clo22	#Clo20	16	Initial
#Clo34	#Clo49	15	Initial
#Clo25	#Clo23	15	Initial
#Clo26	#Clo28	15	Initial
#Clo20	#Clo20	15	Initial
#Clo49	#Clo49	15	Initial
#Clo47	#Clo47	15	Initial
#Clo28	#Clo28	17	Initial
#Clo43	#Clo35	15	Initial
#Clo40	#Clo38	15	Initial
#Clo41	#Clo41	15	Initial
#Clo12	#Clo12	15	Initial
#Clo13	#Clo15	15	Initial
#Clo38	#Clo38	15	Initial
#Clo15	#Clo38	16	Initial
#Clo16	#Clo18	15	Initial
#Clo19	#Clo19	16	Initial
#Clo31	#Clo31	15	Initial
#Clo23	#Clo23	15	Initial
#Clo51	#Clo51	15	Initial
#Clo35	#Clo35	15	Initial
#Clo18	#Clo18	15	Initial
